flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
IBE8861,CANADAIR CRJ-900,2018-04-16,07:30,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 07:30,12,16,Chubascos Dispersos,7 - 8, - ,2018-04-16,08:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 08:35,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:26
IBE0553,AIRBUS A319,2018-04-16,09:05,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 09:05,12,16,Chubascos Dispersos,8 - 8, - ,2018-04-16,10:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 10:10,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:27
VLG1593,AIRBUS A320,2018-04-16,09:15,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 09:15,12,16,Chubascos Dispersos,7 - , - ,2018-04-16,10:30,BARCELONA-EL PRAT,BCN,-,Llegada prevista a las 10:30,14,22,Nubes Altas,-, - ,2018-04-15 18:48:28
VLG3262,AIRBUS A320,2018-04-16,13:30,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 13:30,12,16,Chubascos Dispersos,7 - , - ,2018-04-16,14:55,PALMA DE MALLORCA,PMI,-,Llegada prevista a las 14:55,11,21,Despejado,-, - ,2018-04-15 18:48:30
IBE0555,AIRBUS A319,2018-04-16,13:45,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 13:45,12,16,Chubascos Dispersos,8 - 8, - ,2018-04-16,15:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 15:00,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:31
IBE8671,BOMBARDIER CRJ-1000,2018-04-16,14:05,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 14:05,12,16,Chubascos Dispersos,7 - 8, - ,2018-04-16,15:30,MENORCA,MAH,1,Llegada prevista a las 15:30,12,20,Despejado,1,04,2018-04-15 18:48:32
IBE0557,AIRBUS A319,2018-04-16,17:45,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 17:45,12,16,Chubascos Dispersos,7 - 8, - ,2018-04-16,19:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 19:00,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:36
VLG1591,AIRBUS A320,2018-04-16,17:55,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 17:55,12,16,Chubascos Dispersos,7 - , - ,2018-04-16,19:10,BARCELONA-EL PRAT,BCN,-,Llegada prevista a las 19:10,14,22,Nubes Altas,-, - ,2018-04-15 18:48:37
AEA5004,ATR-72,2018-04-15,18:10,MELILLA,MLN,T,El vuelo ha despegado a las 18:07,14,19,Despejado,1 - 2,2,2018-04-15,19:00,MALAGA-COSTA DEL SOL,AGP,T,Llegada prevista a las 18:48,14,23,Despejado,T3,32,2018-04-15 18:48:14
IBE8277,ATR-72,2018-04-15,19:00,MELILLA,MLN,T,Salida prevista a las 19:00,14,19,Despejado,5 - 6,3,2018-04-15,19:50,MALAGA-COSTA DEL SOL,AGP,T,Llegada prevista a las 19:50,14,23,Despejado,T3,31,2018-04-15 18:48:15
