flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
IBE8577,BOMBARDIER CRJ-1000,2018-04-13,14:05,ALMERIA,LEI,1,El vuelo ha despegado a las 14:34,8,17,Chubascos Dispersos,19 - 21,3,2018-04-13,15:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 15:45,6,14,Chubascos Dispersos,10,19,2018-04-13 16:23:04
VLG1401,AIRBUS A320,2018-04-13,14:00,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 14:22,12,17,Lluvia,403 - 403,A06,2018-04-13,15:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 15:39,6,14,Chubascos Dispersos,10,14,2018-04-13 16:23:16
IBS3875,AIRBUS A320,2018-04-13,14:40,SANTIAGO,SCQ,T,El vuelo ha despegado a las 14:41,10,15,Chubascos Dispersos,5 - 8,3,2018-04-13,15:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 15:50,6,14,Chubascos Dispersos,10,15,2018-04-13 16:23:06
IBS3980,AIRBUS A320,2018-04-13,13:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 13:36,6,14,Chubascos Dispersos,810 - 859,J58,2018-04-13,14:40,ASTURIAS,OVD,1,El vuelo ha aterrizado a las 14:41,8,14,Lluvia,SC,3,2018-04-13 16:23:10
IBS3949,AIRBUS A320,2018-04-13,13:05,SEVILLA,SVQ,1,El vuelo ha despegado a las 13:30,8,17,Chubascos Dispersos,M18 - M20,1,2018-04-13,14:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 14:29,6,14,Chubascos Dispersos,10,17,2018-04-13 16:23:30
VLG1299,AIRBUS A320,2018-04-13,13:05,SEVILLA,SVQ,1,El vuelo ha despegado a las 13:04,8,17,Chubascos Dispersos,M26 - M33,6,2018-04-13,14:30,A CORUÑA,LCG,-,El vuelo ha aterrizado a las 14:29,10,15,Chubascos Dispersos,S1,2,2018-04-13 16:23:22
VLG3015,32A,2018-04-13,13:30,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 13:33,16,22,Nubosidad Variable,51 - 53,9,2018-04-13,17:30,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 17:28,12,17,Lluvia,T1_G,07,2018-04-13 16:23:11
RYR2054,BOEING 737-800 WINGLETS,2018-04-13,14:15,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 14:19,12,17,Lluvia,002 - 007,D83,2018-04-13,15:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha aterrizado a las 15:43,6,14,Chubascos Dispersos,02,10,2018-04-13 16:23:06
IBS3857,AIRBUS A320,2018-04-13,13:40,LANZAROTE,ACE,1,El vuelo ha despegado a las 13:38,17,22,Nubosidad Variable,14 - 16,9,2018-04-13,17:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 17:15,6,14,Chubascos Dispersos,10,15,2018-04-13 16:23:13
AEA2682,BOEING 737-800 WINGLETS,2018-04-13,14:15,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 14:12,17,22,Nubosidad Variable,15 - 19,13,2018-04-13,18:30,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 18:23,12,17,Lluvia,T1_G,13,2018-04-13 16:23:14
VLG2286,32A,2018-04-13,12:25,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 13:12,12,17,Lluvia,501 - 514,B48,2018-04-13,14:10,JEREZ DE LA FRONTERA,XRY,T,El vuelo ha aterrizado a las 14:50,5,15,Chubascos Dispersos,1A,3,2018-04-13 16:23:23
IBE0446,32A,2018-04-13,13:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 13:36,6,14,Chubascos Dispersos,810 - 859,J41,2018-04-13,14:05,BILBAO,BIO,O,El vuelo ha aterrizado a las 14:36,7,17,Lluvia Moderada,N,5,2018-04-13 16:23:35
VLG3969,32A,2018-04-13,13:10,VALENCIA,VLC,1,El vuelo ha despegado a las 13:25,11,21,Nubosidad Variable,26 - 27,C10,2018-04-13,14:30,BILBAO,BIO,O,El vuelo ha aterrizado a las 14:42,7,17,Lluvia Moderada,N,4,2018-04-13 16:23:37
RYR2897,BOEING 737-800 WINGLETS,2018-04-13,13:15,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 13:44,12,17,Lluvia,002 - 007,D91,2018-04-13,14:10,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha aterrizado a las 14:36,12,17,Lluvia,B,24,2018-04-13 16:23:35
AEA6060,BOEING 737-800 WINGLETS,2018-04-13,13:30,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 13:56,12,17,Lluvia,086 - 091,D80,2018-04-13,14:20,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 14:44,12,17,Lluvia,T1_G,01,2018-04-13 16:23:39
VLG3905,32A,2018-04-13,13:30,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 13:41,12,17,Lluvia,058 - 060,D90,2018-04-13,14:25,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 14:23,12,17,Lluvia,T1_G,02,2018-04-13 16:23:42
AEA6025,EMBRAER ERJ-195,2018-04-13,12:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 13:19,6,14,Chubascos Dispersos,505 - 520,E81,2018-04-13,14:00,IBIZA,IBZ,1,El vuelo ha aterrizado a las 14:25,13,17,Nuboso A Muy Nuboso,02,03,2018-04-13 16:23:33
RYR8146,BOEING 737-800 WINGLETS,2018-04-13,13:30,MALAGA-COSTA DEL SOL,AGP,2,El vuelo ha despegado a las 13:35,8,16,Tormentas Localmente Fuertes,221 - 227,B30,2018-04-13,14:50,IBIZA,IBZ,1,El vuelo ha aterrizado a las 14:49,13,17,Nuboso A Muy Nuboso,02,04,2018-04-13 16:23:35
IBE8275,ATR-72,2018-04-13,13:20,MELILLA,MLN,T,El vuelo ha despegado a las 13:43,12,18,Chubascos Dispersos,5 - 6,2,2018-04-13,14:10,MALAGA-COSTA DEL SOL,AGP,T,El vuelo ha aterrizado a las 14:33,8,16,Tormentas Localmente Fuertes,T3,31,2018-04-13 16:23:37
IBS3946,AIRBUS A320,2018-04-13,11:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 12:07,6,14,Chubascos Dispersos,810 - 859,J59,2018-04-13,13:15,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 13:39,17,22,Nubosidad Variable,1,5,2018-04-13 16:23:38
IBB620,ATR-72,2018-04-13,13:00,LA PALMA,SPC,N,El vuelo ha despegado a las 12:57,16,21,Nubosidad Variable,01 - 02,5,2018-04-13,13:30,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 13:28,17,22,Nubosidad Variable,1,2,2018-04-13 16:23:40
IBB471,ATR-72,2018-04-13,12:50,LANZAROTE,ACE,2,El vuelo ha despegado a las 12:45,17,22,Nubosidad Variable,M3 - M4,P3,2018-04-13,13:40,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 13:36,17,22,Nubosidad Variable,1,3,2018-04-13 16:23:41
VLG3254,AIRBUS A320,2018-04-13,12:30,SEVILLA,SVQ,1,El vuelo ha despegado a las 12:33,8,17,Chubascos Dispersos,M26 - M33,8,2018-04-13,13:45,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 13:33,17,22,Nubosidad Variable,1,1,2018-04-13 16:23:42
IBB149,ATR-72,2018-04-13,15:00,TENERIFE NORTE,TFN,1,Llegada prevista a las 15:00,17,22,Nubosidad Variable,1,2,2018-04-13,15:00,GRAN CANARIA,LPA,-,Salida prevista a las 15:21,16,21,Nubosidad Variable,103 - 108,A05,2018-04-13 16:23:53
IBB416,ATR-42/72,2018-04-13,12:30,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 12:35,17,22,Nubosidad Variable,21 - 26,4,2018-04-13,13:20,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 13:23,16,22,Nubosidad Variable,A,13,2018-04-13 16:23:35
EVE1120,32A,2018-04-13,13:10,SANTIAGO,SCQ,T,El vuelo ha despegado a las 13:00,10,15,Chubascos Dispersos,1 - 3,9,2018-04-13,14:35,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 14:30,11,18,Nubosidad Variable,NT1,8B,2018-04-13 16:23:39
IBB621,ATR-42/72,2018-04-13,13:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 13:00,17,22,Nubosidad Variable,21 - 26,3,2018-04-13,13:30,LA PALMA,SPC,N,El vuelo ha aterrizado a las 13:30,16,21,Nubosidad Variable,LLNT,4,2018-04-13 16:23:36
IBS3842,AIRBUS A320,2018-04-13,11:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 12:03,6,14,Chubascos Dispersos,810 - 859,H18,2018-04-13,13:45,LA PALMA,SPC,N,El vuelo ha aterrizado a las 13:41,16,21,Nubosidad Variable,LLNT,3,2018-04-13 16:23:37
IBS3910,AIRBUS A320,2018-04-13,11:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:43,6,14,Chubascos Dispersos,810 - 859,K87,2018-04-13,13:30,TENERIFE SUR,TFS,A,El vuelo ha aterrizado a las 13:36,17,22,Nubosidad Variable,A,A2,2018-04-13 16:23:40
IBK6361,BOEING 737-800 WINGLETS,2018-04-13,11:15,BILBAO,BIO,O,El vuelo ha despegado a las 11:15,7,17,Lluvia Moderada,21 - 22,5,2018-04-13,13:45,TENERIFE SUR,TFS,A,El vuelo ha aterrizado a las 13:21,17,22,Nubosidad Variable,A,A4,2018-04-13 16:23:42
RYR3042,BOEING 737-800 WINGLETS,2018-04-13,13:30,SANTIAGO,SCQ,T,El vuelo ha despegado a las 13:20,10,15,Chubascos Dispersos,23 - 24,14,2018-04-13,15:00,SEVILLA,SVQ,1,El vuelo ha aterrizado a las 14:37,8,17,Chubascos Dispersos,B,5,2018-04-13 16:23:40
IBB454,ATR-42/72,2018-04-13,12:50,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 12:50,17,22,Nubosidad Variable,21 - 26,4B,2018-04-13,13:40,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 13:42,17,22,Nubosidad Variable,4,C1,2018-04-13 16:23:39
CNF729,ATR-72,2018-04-13,12:55,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 12:56,16,21,Nubosidad Variable,116 - 116,A05,2018-04-13,13:40,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 13:42,17,22,Nubosidad Variable,4,C2,2018-04-13 16:23:40
HTY111,AWH,2018-04-13,14:50,CEUTA,JCU,-,El vuelo ha despegado a las 14:59,11,17,Lluvia, - , - ,2018-04-13,15:00,ALGECIRAS / HELIPUERTO,AEI,-,El vuelo ha aterrizado a las 15:10,9,16,Tormentas Localmente Fuertes,-, - ,2018-04-13 16:54:20
IBK6773,BOEING 737-800 WINGLETS,2018-04-13,14:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 14:52,6,14,Chubascos Dispersos,545 - 550,D55,2018-04-13,15:55,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 16:03,12,17,Lluvia,NT,01,2018-04-13 16:54:17
IBS9527,AIRBUS A320,2018-04-13,15:05,VIGO,VGO,1,El vuelo ha despegado a las 14:54,6,15,Chubascos Dispersos,09 - ,3,2018-04-13,16:55,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 16:32,12,17,Lluvia,NT,12,2018-04-13 16:54:09
AEA2632,BOEING 737-800 WINGLETS,2018-04-13,13:45,IBIZA,IBZ,1,El vuelo ha despegado a las 14:23,13,17,Nuboso A Muy Nuboso,42 - 43,02,2018-04-13,14:35,ZARAGOZA,ZAZ,T,El vuelo ha aterrizado a las 15:11,8,17,Chubascos Dispersos,2,2,2018-04-13 16:54:21
AEA6024,EMBRAER ERJ-195,2018-04-13,14:50,IBIZA,IBZ,1,El vuelo ha despegado a las 14:59,13,17,Nuboso A Muy Nuboso,42 - 46,01,2018-04-13,16:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha aterrizado a las 16:06,6,14,Chubascos Dispersos,06,18,2018-04-13 16:54:14
AEA7315,EMBRAER ERJ-195,2018-04-13,12:30,VIGO,VGO,1,El vuelo ha despegado a las 13:49,6,15,Chubascos Dispersos,01 - 03,5,2018-04-13,13:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha aterrizado a las 14:59,6,14,Chubascos Dispersos,06,09,2018-04-13 16:54:29
IBE8790,ATR-72,2018-04-13,13:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 13:21,6,14,Chubascos Dispersos,810 - 859,K92,2018-04-13,14:55,MELILLA,MLN,T,El vuelo ha aterrizado a las 14:58,12,18,Chubascos Dispersos,SLL,2,2018-04-13 16:54:24
IBS3823,AIRBUS A321,2018-04-13,14:05,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 14:09,16,21,Nubosidad Variable,209 - 211,C02,2018-04-13,17:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 18:00,6,14,Chubascos Dispersos,10,15,2018-04-13 16:54:14
VLG3261,AIRBUS A320,2018-04-13,10:40,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 10:37,17,22,Nubosidad Variable,11 - 12,8,2018-04-13,14:35,BILBAO,BIO,O,El vuelo ha aterrizado a las 14:51,7,17,Lluvia Moderada,N,5,2018-04-13 16:54:39
VLG2124,32B,2018-04-13,14:30,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 15:05,8,16,Tormentas Localmente Fuertes,307 - 310,D66,2018-04-13,16:05,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 16:29,12,17,Lluvia,T1_G,02,2018-04-13 16:54:13
IBE2242,ATR-72,2018-04-13,15:55,LANZAROTE,ACE,2,Salida prevista a las 15:55,17,22,Nubosidad Variable,M3 - M4,P3,2018-04-13,16:40,GRAN CANARIA,LPA,-,Llegada prevista a las 16:40,16,21,Nubosidad Variable,01,11,2018-04-13 16:54:45
IBS3907,AIRBUS A320,2018-04-13,13:45,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 13:54,16,22,Nubosidad Variable,05 - 07,11,2018-04-13,17:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 17:40,6,14,Chubascos Dispersos,10,15,2018-04-13 16:54:16
VLG1579,AIRBUS A320,2018-04-13,12:50,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 13:36,12,17,Lluvia,501 - 514,B24,2018-04-13,14:20,ASTURIAS,OVD,1,El vuelo ha aterrizado a las 14:55,8,14,Lluvia,SC,4,2018-04-13 16:54:42
VLG3148,AIRBUS A320,2018-04-13,13:35,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 13:42,8,16,Tormentas Localmente Fuertes,307 - 312,D42,2018-04-13,15:00,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 15:00,12,17,Lluvia,NT,10,2018-04-13 16:54:44
IBB145,ATR-72,2018-04-13,13:00,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 13:19,16,21,Nubosidad Variable,103 - 108,A07,2018-04-13,13:30,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 13:52,17,22,Nubosidad Variable,1,2,2018-04-13 16:54:46
AEA9118,BOEING 737-800 WINGLETS,2018-04-13,11:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 12:22,6,14,Chubascos Dispersos,505 - 520,E76,2018-04-13,13:50,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 14:00,17,22,Nubosidad Variable,1,4,2018-04-13 16:54:48
RYR8538,BOEING 737-800 WINGLETS,2018-04-13,13:25,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 13:25,11,18,Nubosidad Variable,50 - 54,C49,2018-04-13,15:10,SANTIAGO,SCQ,T,El vuelo ha aterrizado a las 14:55,10,15,Chubascos Dispersos,B,3,2018-04-13 16:54:48
IBS3878,AIRBUS A321,2018-04-13,15:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 16:04,6,14,Chubascos Dispersos,810 - 819,K73,2018-04-13,17:05,SANTIAGO,SCQ,T,Llegada prevista a las 17:15,10,15,Chubascos Dispersos,B,1,2018-04-13 16:54:50
VLG1676,AIRBUS A320,2018-04-13,16:10,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 16:10,12,17,Lluvia,501 - 514,A04,2018-04-13,17:55,SANTIAGO,SCQ,T,Llegada prevista a las 17:50,10,15,Chubascos Dispersos,B,2,2018-04-13 16:54:51
VLG1672,AIRBUS A320,2018-04-13,18:50,BARCELONA-EL PRAT,BCN,T1,Salida prevista a las 18:50,12,17,Lluvia,501 - 514, - ,2018-04-13,20:40,SANTIAGO,SCQ,T,Llegada prevista a las 20:40,10,15,Chubascos Dispersos,B,1,2018-04-13 16:54:52
IBE8358,CANADAIR CRJ-200,2018-04-13,19:50,BILBAO,BIO,O,Salida prevista a las 19:50,7,17,Lluvia Moderada,16 - 18,9,2018-04-13,20:50,SANTIAGO,SCQ,T,Llegada prevista a las 20:50,10,15,Chubascos Dispersos,B,2,2018-04-13 16:54:54
IBB134,ATR-42/72,2018-04-13,13:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 13:10,17,22,Nubosidad Variable,21 - 26,4A,2018-04-13,13:30,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 13:56,16,21,Nubosidad Variable,01,12,2018-04-13 16:54:46
VLG3274,AIRBUS A320,2018-04-13,11:30,BILBAO,BIO,O,El vuelo ha despegado a las 11:58,7,17,Lluvia Moderada,10 - 13,4,2018-04-13,13:40,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 13:54,16,21,Nubosidad Variable,01,16,2018-04-13 16:54:47
AEA9434,ATR-72,2018-04-13,13:00,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 13:13,16,22,Nubosidad Variable,41 - 41,6,2018-04-13,13:40,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 14:04,16,21,Nubosidad Variable,01,13,2018-04-13 16:54:48
IBS3830,AIRBUS A321,2018-04-13,12:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 12:35,6,14,Chubascos Dispersos,810 - 859,H28,2018-04-13,14:20,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 14:17,16,21,Nubosidad Variable,01,15,2018-04-13 16:54:53
VLG2510,AIRBUS A320,2018-04-13,13:30,BILBAO,BIO,O,El vuelo ha despegado a las 13:32,7,17,Lluvia Moderada,10 - 13,2,2018-04-13,14:50,SEVILLA,SVQ,1,El vuelo ha aterrizado a las 14:51,8,17,Chubascos Dispersos,B,4,2018-04-13 16:54:45
VOE3528,BOEING 717,2018-04-13,14:10,BILBAO,BIO,O,El vuelo ha despegado a las 14:02,7,17,Lluvia Moderada,32 - 32,1,2018-04-13,15:35,SEVILLA,SVQ,1,El vuelo ha aterrizado a las 15:15,8,17,Chubascos Dispersos,B,3,2018-04-13 16:54:47
AEA2828,BOEING 737-800 WINGLETS,2018-04-13,13:30,SANTIAGO,SCQ,T,El vuelo ha despegado a las 13:27,10,15,Chubascos Dispersos,14 - 16,10,2018-04-13,15:05,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 15:00,12,17,Lluvia,T1_G,04,2018-04-13 16:55:19
IBB212,ATR-72,2018-04-13,13:40,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 13:39,16,21,Nubosidad Variable,103 - 108,A09,2018-04-13,14:20,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 14:21,16,22,Nubosidad Variable,A,14,2018-04-13 16:54:55
IBE2204,ATR-72,2018-04-13,13:40,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 13:39,16,21,Nubosidad Variable,103 - 108,A09,2018-04-13,14:20,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 14:21,16,22,Nubosidad Variable,A,14,2018-04-13 16:54:57
IBB514,ATR-72,2018-04-13,13:15,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 13:30,16,21,Nubosidad Variable,103 - 108,A11,2018-04-13,14:00,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 14:10,17,22,Nubosidad Variable,4,C1,2018-04-13 16:54:56
IBB652,ATR-72,2018-04-13,17:50,LA GOMERA,GMZ,T,Departure expected at 17:50,16,23,Chubascos Dispersos,1 - 1,1,2018-04-13,18:20,TENERIFE NORTE,TFN,1,Arrival expected at 18:20,17,22,Nubosidad Variable,1,2,2018-04-13 17:25:37
HTY113,AWH,2018-04-13,15:20,CEUTA,JCU,-,El vuelo ha despegado a las 15:40,11,17,Lluvia, - , - ,2018-04-13,15:30,ALGECIRAS / HELIPUERTO,AEI,-,El vuelo ha aterrizado a las 15:51,9,16,Tormentas Localmente Fuertes,-, - ,2018-04-13 17:25:38
HTY137,AWH,2018-04-13,18:30,CEUTA,JCU,-,Salida prevista a las 18:30,11,17,Lluvia, - , - ,2018-04-13,18:40,ALGECIRAS / HELIPUERTO,AEI,-,Llegada prevista a las 18:40,9,16,Tormentas Localmente Fuertes,-, - ,2018-04-13 17:25:41
VLG3979,AIRBUS A320,2018-04-13,17:45,ZARAGOZA,ZAZ,T,Salida prevista a las 17:45,8,17,Chubascos Dispersos,1 - 2,3,2018-04-13,18:50,PALMA DE MALLORCA,PMI,N,Llegada prevista a las 18:50,12,17,Lluvia,NT,10,2018-04-13 17:25:39
IBB653,ATR-42/72,2018-04-13,17:00,TENERIFE NORTE,TFN,1,Salida prevista a las 17:00,17,22,Nubosidad Variable,21 - 26,4A,2018-04-13,17:30,LA GOMERA,GMZ,-,Llegada prevista a las 17:30,16,23,Chubascos Dispersos,-, - ,2018-04-13 17:25:41
RYR6321,BOEING 737-800 WINGLETS,2018-04-13,17:15,VALLADOLID,VLL,1,Salida prevista a las 17:15,5,11,Chubascos Dispersos,5 - ,5,2018-04-13,18:35,BARCELONA-EL PRAT,BCN,T2 B,Llegada prevista a las 18:35,12,17,Lluvia,B,26,2018-04-13 17:25:37
VLG1585,32A,2018-04-13,19:50,VALLADOLID,VLL,1,Salida prevista a las 19:50,5,11,Chubascos Dispersos,1 - 2,1,2018-04-13,21:10,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 21:10,12,17,Lluvia,T1_G,04,2018-04-13 17:25:41
KRP2860,FOKKER 100,2018-04-13,16:30,PAMPLONA,PNA,T,El vuelo ha despegado a las 16:35,5,15,Lluvia,08 - 09,2,2018-04-13,18:45,GRAN CANARIA,LPA,-,Llegada prevista a las 18:53,16,21,Nubosidad Variable,01,15,2018-04-13 17:25:37
IBE8525,BOMBARDIER CRJ-1000,2018-04-13,17:45,PAMPLONA,PNA,T,Salida prevista a las 17:45,5,15,Lluvia,07 - 09,2,2018-04-13,18:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 18:36,6,14,Chubascos Dispersos,10,19,2018-04-13 17:25:39
IBE8531,BOMBARDIER CRJ-1000,2018-04-13,20:55,PAMPLONA,PNA,T,Salida prevista a las 20:55,5,15,Lluvia,07 - 09,2,2018-04-13,21:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 21:55,6,14,Chubascos Dispersos,10,19,2018-04-13 17:25:41
HTY112,AWH,2018-04-13,15:05,ALGECIRAS / HELIPUERTO,AEI,-,El vuelo ha despegado a las 15:16,9,16,Tormentas Localmente Fuertes, - , - ,2018-04-13,15:15,CEUTA,JCU,-,El vuelo ha aterrizado a las 15:24,11,17,Lluvia,-, - ,2018-04-13 17:25:42
HTY114,AWH,2018-04-13,15:35,ALGECIRAS / HELIPUERTO,AEI,-,El vuelo ha despegado a las 15:56,9,16,Tormentas Localmente Fuertes, - , - ,2018-04-13,15:45,CEUTA,JCU,-,El vuelo ha aterrizado a las 16:04,11,17,Lluvia,-, - ,2018-04-13 17:25:44
HTY138,AWH,2018-04-13,18:45,ALGECIRAS / HELIPUERTO,AEI,-,Salida prevista a las 18:50,9,16,Tormentas Localmente Fuertes, - , - ,2018-04-13,18:55,CEUTA,JCU,-,Llegada prevista a las 18:55,11,17,Lluvia,-, - ,2018-04-13 17:25:46
IBE8329,ATR-72,2018-04-13,17:30,SAN SEBASTIAN,EAS,1,Salida prevista a las 18:00,9,15,Lluvia,5 - 6,2,2018-04-13,18:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 18:59,6,14,Chubascos Dispersos,10,19,2018-04-13 17:25:37
IBE8315,ATR-72,2018-04-13,18:05,SAN SEBASTIAN,EAS,1,Salida prevista a las 18:05,9,15,Lluvia,5 - 6,1,2018-04-13,19:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 19:22,6,14,Chubascos Dispersos,10,19,2018-04-13 17:25:39
VLG2287,32A,2018-04-13,14:45,JEREZ DE LA FRONTERA,XRY,T,El vuelo ha despegado a las 15:25,5,15,Chubascos Dispersos,10 - 9,2,2018-04-13,16:25,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 16:58,12,17,Lluvia,T1_G,08,2018-04-13 17:25:37
RYR1284,BOEING 737-800 WINGLETS,2018-04-13,17:10,JEREZ DE LA FRONTERA,XRY,T,Salida prevista a las 17:45,5,15,Chubascos Dispersos,20 - ,7,2018-04-13,18:55,BARCELONA-EL PRAT,BCN,T2 B,Llegada prevista a las 18:55,12,17,Lluvia,B,24,2018-04-13 17:25:39
IBE0405,AIRBUS A319,2018-04-13,17:40,JEREZ DE LA FRONTERA,XRY,T,Salida prevista a las 17:40,5,15,Chubascos Dispersos,9 - 12,2,2018-04-13,19:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 19:01,6,14,Chubascos Dispersos,10,15,2018-04-13 17:25:40
VLG1584,32A,2018-04-13,17:50,BARCELONA-EL PRAT,BCN,T1,Salida prevista a las 17:50,12,17,Lluvia,501 - 514,B52,2018-04-13,19:15,VALLADOLID,VLL,1,Llegada prevista a las 19:15,5,11,Chubascos Dispersos,01,1,2018-04-13 17:25:48
IBB366,ATR-42/72,2018-04-13,15:40,EL HIERRO,VDE,-,El vuelo ha despegado a las 15:40,14,17,Chubascos Dispersos, - ,02,2018-04-13,16:30,GRAN CANARIA,LPA,-,Llegada prevista a las 16:28,16,21,Nubosidad Variable,01,11,2018-04-13 17:25:41
CNF248,ATR-72,2018-04-13,17:10,EL HIERRO,VDE,1,Salida prevista a las 17:10,14,17,Chubascos Dispersos,04 - ,01,2018-04-13,17:50,TENERIFE NORTE,TFN,1,Llegada prevista a las 17:50,17,22,Nubosidad Variable,1,2,2018-04-13 17:25:43
